Model,Accuracy,Weighted Precision,Weighted Recall,Weighted F1
EfficientNetB0,0.8152173913043478,0.7618700592885376,0.8152173913043478,0.7783232039894031
EfficientNetV2,0.7717391304347826,0.8733277591973243,0.7717391304347826,0.7924695296178671
Eva,0.8804347826086957,0.9080357142857143,0.8804347826086957,0.888511101592061
Eva02,0.8260869565217391,0.8884940542549239,0.8260869565217391,0.8233145203161357
Eva02_wide,0.967391304347826,0.97493961352657,0.967391304347826,0.9691083373148591
FBNetV3B,0.7608695652173914,0.7850019069412661,0.7608695652173914,0.7631429383347542
MobileNetV3,0.782608695652174,0.7892210144927535,0.782608695652174,0.7695809742001495
MobileNetV4,0.17391304347826086,0.5938355123137732,0.17391304347826086,0.22070015220700148
ResEmoteNet,0.7934782608695652,0.8570350241545894,0.7934782608695652,0.8068710779506311
ResNeSt,0.8804347826086957,0.8696927892994585,0.8804347826086957,0.8731543286210806
ResNeXt50,0.75,0.7324246143057502,0.75,0.7378216224260415
VGG19,0.358695652173913,0.8364029165541452,0.358695652173913,0.44093895235199587
