Model,Accuracy,Weighted Precision,Weighted Recall,Weighted F1
EfficientNetB0,0.6254266211604096,0.7426831587550883,0.6254266211604096,0.646370652882723
EfficientNetV2,0.6379408418657565,0.7575254697481023,0.6379408418657565,0.664891098562479
Eva,0.6319681456200228,0.7675956158538815,0.6319681456200228,0.6621624348783575
Eva02,0.64419795221843,0.768096406392428,0.64419795221843,0.6723699125755689
Eva02_wide,0.8398748577929466,0.8388518471678874,0.8398748577929466,0.838125997886642
FBNetV3B,0.6325369738339022,0.7494925326601264,0.6325369738339022,0.6576194192846246
MobileNetV3,0.6077929465301479,0.74330880103283,0.6077929465301479,0.636006885146642
MobileNetV4,0.07622298065984073,0.5810166528054964,0.07622298065984073,0.12735133390429837
ResEmoteNet,0.6174630261660978,0.7457462935956949,0.6174630261660978,0.646415164975063
ResNeSt,0.6450511945392492,0.7741013255732855,0.6450511945392492,0.6687613398054517
ResNeXt50,0.6353811149032992,0.7530927465399966,0.6353811149032992,0.6647885488625002
VGG19,0.6513083048919226,0.7659673102700169,0.6513083048919226,0.6789030486753022
