Model,Accuracy,Weighted Precision,Weighted Recall,Weighted F1
EfficientNetB0,0.6365658945164245,0.6430564833948417,0.6365658945164245,0.6221351172850934
EfficientNetV2,0.8977882476115692,0.9057938800370494,0.8977882476115692,0.8833322556831162
Eva,0.8154691794267765,0.8282673162634255,0.8154691794267765,0.8105843434890296
Eva02,0.8854861929066876,0.8938535915996939,0.8854861929066876,0.8772117469996807
Eva02_wide,0.8915063473367361,0.8921628538091995,0.8915063473367361,0.8911620042681228
FBNetV3B,0.7728046067268682,0.7734875620189118,0.7728046067268682,0.7608563825750704
MobileNetV3,0.8231906818479257,0.8278588231221111,0.8231906818479257,0.8132463238849813
MobileNetV4,0.16948043449810235,0.3737955723038952,0.16948043449810235,0.20808965665971726
ResEmoteNet,0.8883653971993195,0.8930959505479024,0.8883653971993195,0.874154510595717
ResNeSt,0.8844392095275487,0.8892856357729355,0.8844392095275487,0.8753987504677048
ResNeXt50,0.8209658421672555,0.8291672247314351,0.8209658421672555,0.8084914509849369
VGG19,0.8733150111241984,0.8798041334700217,0.8733150111241984,0.8684641094892499
