Model,Accuracy,Weighted Precision,Weighted Recall,Weighted F1
EfficientNetB0,0.5096185197261167,0.6117598314359629,0.5096185197261167,0.5232295736757345
EfficientNetV2,0.6025432018258885,0.6583353850523334,0.6025432018258885,0.6173409491366899
Eva,0.6625366807955657,0.7532707774159938,0.6625366807955657,0.69324499549264
Eva02,0.589175089664167,0.7018870392932666,0.589175089664167,0.6240952577750661
Eva02_wide,0.9083795239647864,0.914330503649945,0.9083795239647864,0.9095696548871526
FBNetV3B,0.4444082164982067,0.6627390636653536,0.4444082164982067,0.5123842360488731
MobileNetV3,0.540593413759374,0.6093588103341337,0.540593413759374,0.554950837643102
MobileNetV4,0.26866644929898925,0.5711264002043606,0.26866644929898925,0.32842958417112345
ResEmoteNet,0.5399413107270948,0.5705378299249655,0.5399413107270948,0.5336066807695785
ResNeSt,0.5314639713074666,0.6794162376959255,0.5314639713074666,0.5626315464376116
ResNeXt50,0.5422236713400718,0.6114755264821782,0.5422236713400718,0.5597498507615549
VGG19,0.4812520378219759,0.6734987467113327,0.4812520378219759,0.5170896826640932
